Date	NumArticles	Counts	Themes	Locations	Persons	Organizations	ToneData	CAMEOEvents	Sources	SourceURLs
20160101	1		WB_137_WATER;CRISISLEX_CRISISLEXREC;WATER_SECURITY;CRISISLEX_T11_UPDATESSYMPATHY;MEDIA_MSM;TAX_FNCACT;TAX_FNCACT_CITIZENS;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;IDEOLOGY;EPU_POLICY_POLITICAL;USPEC_POLICY1;EPU_CATS_TAXES;WB_1467_EDUCATION_FOR_ALL;WB_491_QUALITY_OF_EDUCATION;WB_2129_TEXTBOOKS;WB_470_EDUCATION;WB_1199_WATER_SUPPLY_AND_SANITATION;WB_138_WATER_SUPPLY;TAX_FNCACT_CHILDREN;GENERAL_HEALTH;MEDICAL;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;SCIENCE;TAX_FNCACT_OFFICIALS;RESIGNATION;MANMADE_DISASTER_IMPLIED;TAX_FNCACT_DIRECTOR;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_EDITOR;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_DOLLARS;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_1462_WATER_SANITATION_AND_HYGIENE;WB_635_PUBLIC_HEALTH;WB_621_HEALTH_NUTRITION_AND_POPULATION;AFFECT;SICKENED;SOC_EXPRESSREGRET;LEADER;TAX_FNCACT_GOVERNOR;TAX_FNCACT_PUBLISHER;USPEC_POLITICS_GENERAL1;MEDIA_SOCIAL;	1#United States#US#US#38#-97#US;3#Detroit, Michigan, United States#US#USMI#42.3314#-83.0458#1617959;2#Virginia, United States#US#USVA#37.768#-78.2057#VA;2#Michigan, United States#US#USMI#43.3504#-84.5603#MI	dan wyant;pres nancy kaffer;mona hanna-attisha;brad wurfel;lindsey smith;susan j demas;byrn mickle;curt guyette	theyre department of environmental quality;flint water advisory task;virginia tech university;twitter	-2.34604105571847,3.66568914956012,6.01173020527859,9.67741935483871,25.9530791788856,0.439882697947214		mlive.com	http://www.mlive.com/opinion/index.ssf/2016/01/flint_water_snyder_republicans.html
20160102	1		TAX_FNCACT;TAX_FNCACT_OFFICIAL;RESIGNATION;WB_137_WATER;WATER_SECURITY;CRISISLEX_CRISISLEXREC;GENERAL_HEALTH;MEDICAL;WB_635_PUBLIC_HEALTH;WB_621_HEALTH_NUTRITION_AND_POPULATION;TAX_DISEASE;TAX_DISEASE_POISONING;TAX_DISEASE_LEAD_POISONING;MANMADE_DISASTER_IMPLIED;TRANSPARENCY;TAX_FNCACT_MANAGER;WB_1199_WATER_SUPPLY_AND_SANITATION;WB_138_WATER_SUPPLY;TAX_FNCACT_CHILDREN;TAX_FNCACT_PEDIATRICIAN;TRIAL;SOC_GENERALCRIME;EPU_POLICY;EPU_POLICY_REGULATORY;GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_831_GOVERNANCE;WB_838_PUBLIC_ACCOUNTABILITY_MECHANISMS;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;WB_2934_COPPER;WB_1699_METAL_ORE_MINING;TAX_FNCACT_DIRECTOR;TAX_FNCACT_SPOKESMAN;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_FNCACT_CITIZENS;WB_840_JUSTICE;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_EXECUTIVE_DIRECTOR;JUSTICE;	3#Flint River, Michigan, United States#US#USMI#43.3534#-84.06#626175;2#Michigan, United States#US#USMI#43.3504#-84.5603#MI	dan wyant;rick snyder;brad wurfel;lonnie scott	office of drinking water;flint water advisory task;michigan department of environmental quality	-5.74324324324324,2.02702702702703,7.77027027027027,9.7972972972973,24.8310810810811,1.18243243243243	498757559,498791266	sott.net	http://www.sott.net/article/309664-Michigan-Government-sorry-as-Flints-man-made-water-catastrophe-continues
20160103	1		TAX_FNCACT;TAX_FNCACT_DIRECTOR;MANMADE_DISASTER_IMPLIED;RESIGNATION;WB_137_WATER;WATER_SECURITY;TAX_FNCACT_REGULATORS;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;WB_1199_WATER_SUPPLY_AND_SANITATION;WB_138_WATER_SUPPLY;TAX_DISEASE;TAX_DISEASE_POISONING;TAX_DISEASE_LEAD_POISONING;WB_678_DIGITAL_GOVERNMENT;WB_2943_SWITCHES;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_DISEASE_POISONED;TAX_FNCACT_CITIZENS;DISABILITY;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_635_PUBLIC_HEALTH;WB_1464_HEALTH_OF_THE_DISABLED;WB_621_HEALTH_NUTRITION_AND_POPULATION;TAX_FNCACT_CHILDREN;LEADER;TAX_FNCACT_GOVERNOR;TAX_FNCACT_MAYOR;TAX_FNCACT_WEAVER;GENERAL_HEALTH;MEDICAL;	3#Flint River, Michigan, United States#US#USMI#43.3534#-84.06#626175;2#Virginia, United States#US#USVA#37.768#-78.2057#VA;2#Michigan, United States#US#USMI#43.3504#-84.5603#MI	dan wyant	flint water advisory task;michigan department of environmental quality	-2.52873563218391,2.75862068965517,5.28735632183908,8.04597701149425,25.5172413793103,1.60919540229885		theindianrepublic.com	http://theindianrepublic.com/top-michigan-environmental-regulator-resigns-over-handling-44378.html
20160103	1		MANMADE_DISASTER_IMPLIED;TAX_FNCACT;TAX_FNCACT_DIRECTOR;RESIGNATION;SOC_EXPRESSREGRET;TAX_FNCACT_CHILDREN;WB_137_WATER;WATER_SECURITY;TAX_FNCACT_SENATOR;USPEC_POLITICS_GENERAL1;TAX_FNCACT_STATE_SENATOR;CRISISLEX_CRISISLEXREC;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;LEADER;TAX_FNCACT_GOVERNOR;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;APPOINTMENT;SLFID_NATURAL_RESOURCES;WB_471_ECONOMIC_GROWTH;WB_1078_DETERMINANTS_OF_GROWTH;WB_1079_COMMODITIES_AND_RESOURCES;TAX_FNCACT_CHIEF;EPU_CATS_REGULATION;ARMEDCONFLICT;TAX_DISEASE;TAX_DISEASE_POISONING;TAX_DISEASE_LEAD_POISONING;WB_678_DIGITAL_GOVERNMENT;WB_2943_SWITCHES;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;DISABILITY;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_635_PUBLIC_HEALTH;WB_1464_HEALTH_OF_THE_DISABLED;WB_621_HEALTH_NUTRITION_AND_POPULATION;TAX_FNCACT_CITIZENS;TAX_FNCACT_MAYOR;TAX_FNCACT_WEAVER;GENERAL_HEALTH;MEDICAL;	3#Flint River, Michigan, United States#US#USMI#43.3534#-84.06#626175;4#Hamburg, Hamburg, Germany#GM#GM04#53.55#10#-1785434;2#Michigan, United States#US#USMI#43.3504#-84.5603#MI	keith creagh;dan wyant;rick snyder;joe hune;doug ringler;erin brockovich	u s environmental protection agency;michigan department of environmental quality;michigan department of natural resources;department of environmental quality;flint water task	-1.53452685421995,3.0690537084399,4.60358056265985,7.67263427109974,23.5294117647059,0.767263427109974		bonhamjournal.com	http://bonhamjournal.com/2016/01/03/mi-regulator-resigns-amid-flints-lead-in-water-crisis.html
20160103	1		SLFID_NATURAL_RESOURCES;WB_471_ECONOMIC_GROWTH;WB_1078_DETERMINANTS_OF_GROWTH;WB_1079_COMMODITIES_AND_RESOURCES;MANMADE_DISASTER_IMPLIED;TAX_FNCACT;TAX_FNCACT_REGULATOR;RESIGNATION;WB_137_WATER;CRISISLEX_CRISISLEXREC;WATER_SECURITY;TRANSPARENCY;TAX_FNCACT_AUDITOR;GENERAL_HEALTH;MEDICAL;CRISISLEX_C03_WELLBEING_HEALTH;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_MEDICAL_CENTER;TAX_FNCACT_CHILDREN;WB_1199_WATER_SUPPLY_AND_SANITATION;WB_138_WATER_SUPPLY;TAX_FNCACT_PEDIATRICIAN;SCIENCE;TAX_FNCACT_RESEARCHER;POLITICAL_TURMOIL;STATE_OF_EMERGENCY;WB_635_PUBLIC_HEALTH;WB_621_HEALTH_NUTRITION_AND_POPULATION;TAX_FNCACT_CITIZENS;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_LEADERS;DEMOCRACY;TAX_FNCACT_MANAGER;	3#Flint River, Michigan, United States#US#USMI#43.3534#-84.06#626175;2#Michigan, United States#US#USMI#43.3504#-84.5603#MI	rick snyder;mona hanna-attisha;brad wurfel	department of natural resources;flint water advisory task;michigan hurley medical center	-3.125,1.92307692307692,5.04807692307692,6.97115384615385,27.4038461538462,0.480769230769231	498920898,498921192,498921193,498921891,498921980,498921981	thevillagessuntimes.com	http://thevillagessuntimes.com/2016/01/03/michigan-regulator-resigns-amid-lead-in-water-crisis/
20160104	1		WB_137_WATER;TAX_FNCACT;TAX_FNCACT_SPEAKER;TAX_FNCACT_REPRESENTATIVE;CRISISLEX_CRISISLEXREC;TAX_FNCACT_MANAGER;LEADER;TAX_FNCACT_GOVERNOR;CRISISLEX_T11_UPDATESSYMPATHY;TAX_FNCACT_MANAGERS;TAX_FNCACT_DIRECTOR;EDUCATION;WB_470_EDUCATION;ARMEDCONFLICT;WB_678_DIGITAL_GOVERNMENT;WB_2943_SWITCHES;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_FNCACT_CHILD;TAX_FNCACT_ADMINISTRATOR;TAX_FNCACT_SECRETARY;TAX_FNCACT_PRESS_SECRETARY;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_1462_WATER_SANITATION_AND_HYGIENE;WB_635_PUBLIC_HEALTH;WB_621_HEALTH_NUTRITION_AND_POPULATION;WATER_SECURITY;TAX_FNCACT_MAYOR;TAX_FNCACT_WEAVER;GENERAL_HEALTH;MEDICAL;TAX_FNCACT_CHILDREN;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOLS;TAX_FNCACT_LEADERS;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;SOC_USSECURITYAGENCIES;TAX_FNCACT_CHAIRMAN;SCIENCE;TAX_FNCACT_SCIENTIST;MILITARY;TAX_FNCACT_FATHER;TAX_FNCACT_EDUCATOR;SOC_POINTSOFINTEREST_UNIVERSITY;	3#Michigan State University, Michigan, United States#US#USMI#42.4053#-85.4019#632213;3#Flint River, Michigan, United States#US#USMI#43.3534#-84.06#626175;3#Genesee County, Michigan, United States#US#USMI#43.0334#-83.6833#1622967;2#Michigan, United States#US#USMI#43.3504#-84.5603#MI;3#Michigan State Police, Michigan, United States#US#USMI#45.8411#-87.0189#2351894	sheldon neeley;harold ford;rick snyder;dave murray	michigan state university;genesee county commission;department of environmental quality;homeland security division;michigan state police emergency management;flint water task	-0.242424242424242,2.54545454545455,2.78787878787879,5.33333333333333,24.2424242424242,1.33333333333333		mlive.com	http://www.mlive.com/news/flint/index.ssf/2016/01/state_rep_sheldon_neeley_calls.html
20160105	1		TAX_FNCACT;TAX_FNCACT_EXECUTIVE;WB_137_WATER;CRISISLEX_CRISISLEXREC;WATER_SECURITY;TAX_FNCACT_DIRECTOR;TAX_FNCACT_EXECUTIVE_DIRECTOR;TRIAL;TAX_FNCACT_ATTORNEY;EPU_CATS_REGULATION;GENERAL_HEALTH;TAX_FNCACT_SPOKESMAN;LEADER;TAX_FNCACT_GOVERNOR;TRANSPARENCY;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;APPOINTMENT;TAX_FNCACT_LEGISLATORS;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_837_OPEN_GOVERNMENT_AND_TRANSPARENCY;WB_831_GOVERNANCE;WB_2031_RIGHT_TO_INFORMATION;GOV_FOIA;TAX_FNCACT_EDITOR;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_FNCACT_CHILDREN;TAX_DISEASE;TAX_DISEASE_POISONED;LEGISLATION;TAX_FNCACT_SECRETARY;TAX_FNCACT_PRESS_SECRETARY;TAX_FNCACT_CITIZEN;TAX_FNCACT_GUIDE;WB_2142_LOCAL_GOVERNMENT;WB_1502_EDUCATIONAL_DECENTRALIZATION;WB_470_EDUCATION;WB_1497_EDUCATION_MANAGEMENT_AND_ADMINISTRATION;MEDICAL;TAX_FNCACT_OFFICIALS;TAX_FNCACT_CITIZENS;	2#Michigan, United States#US#USMI#43.3504#-84.5603#MI	melanie mcelroy;rick snyder;dave murray	u s environmental protection agency;msnbc;governor office;u s attorney office;mlive media group;flint water task	1.8018018018018,3.15315315315315,1.35135135135135,4.5045045045045,21.8468468468468,0.225225225225225	499622571,499620880,499377843,499620880	mlive.com	http://www.mlive.com/news/flint/index.ssf/2016/01/common_cause_calls_on_gov_snyd.html
20160105	1		EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;WB_137_WATER;CRISISLEX_CRISISLEXREC;WATER_SECURITY;TAX_FNCACT;TAX_FNCACT_STUDENTS;GENERAL_HEALTH;MEDICAL;WB_635_PUBLIC_HEALTH;WB_621_HEALTH_NUTRITION_AND_POPULATION;TAX_FNCACT_DIRECTOR;TAX_FNCACT_STUDENT;WB_470_EDUCATION;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_1463_HEALTH_EDUCATION;USPEC_POLICY1;EPU_POLICY;EPU_POLICY_POLICY;TAX_FNCACT_MANAGERS;APPOINTMENT;TRIAL;TAX_FNCACT_PROSECUTORS;TAX_FNCACT_OFFICIALS;MANMADE_DISASTER_IMPLIED;TAX_FNCACT_CHILDREN;TAX_FNCACT_PEDIATRICIAN;CRISISLEX_T01_CAUTION_ADVICE;POLITICAL_TURMOIL;STATE_OF_EMERGENCY;LEADER;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;WB_2934_COPPER;WB_1699_METAL_ORE_MINING;EPU_POLICY_REGULATORY;MEDIA_MSM;TAX_FNCACT_REPORTER;MEDIA_SOCIAL;	3#Flint River, Michigan, United States#US#USMI#43.3534#-84.06#626175;2#Michigan, United States#US#USMI#43.3504#-84.5603#MI	suzanne selig;dominic adams;rick snyder;marla sievers;barack obama	flint water advisory task;twitter;department of environmental quality;university of michigan	-0.205338809034908,3.08008213552361,3.28542094455852,6.36550308008214,26.4887063655031,0.82135523613963		mlive.com	http://www.mlive.com/news/flint/index.ssf/2016/01/um-flint_to_offer_free_course.html
20160105	3		WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;WB_137_WATER;CRISISLEX_CRISISLEXREC;WATER_SECURITY;POLITICAL_TURMOIL;STATE_OF_EMERGENCY;MANMADE_DISASTER_IMPLIED;GENERAL_HEALTH;MEDICAL;WB_635_PUBLIC_HEALTH;WB_621_HEALTH_NUTRITION_AND_POPULATION;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;SECURITY_SERVICES;TAX_FNCACT;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;SOC_USSECURITYAGENCIES;LEADER;TAX_FNCACT_GOVERNOR;CRISISLEX_O02_RESPONSEAGENCIESATCRISIS;SOC_EXPRESSREGRET;RESIGNATION;TAX_FNCACT_DIRECTOR;TRIAL;TAX_FNCACT_ATTORNEY;TAX_FNCACT_CRIMINAL;TAX_FNCACT_SPOKESWOMAN;TAX_FNCACT_OFFICIALS;EPU_CATS_REGULATION;WB_1199_WATER_SUPPLY_AND_SANITATION;WB_138_WATER_SUPPLY;	3#Detroit, Michigan, United States#US#USMI#42.3314#-83.0458#1617959;3#Genesee County, Michigan, United States#US#USMI#43.0334#-83.6833#1622967;2#Michigan, United States#US#USMI#43.3504#-84.5603#MI;3#Michigan State Police, Michigan, United States#US#USMI#45.8411#-87.0189#2351894	barbara l mcquade;dan wyant;rick snyder;gina balayla	u s environmental protection agency;flint water advisory task;justice department;u s attorney office in detroit;department of environmental quality;michigan state police;emergency operations center;homeland security division	-0.819672131147541,3.82513661202186,4.6448087431694,8.46994535519126,21.3114754098361,0.546448087431694		patch.com;patch.com;patch.com	http://patch.com/michigan/westbloomfield/breaking-governor-declares-emergency-flint-water-crisis<UDIV>http://patch.com/michigan/dearborn/s/fj6al/breaking-governor-declares-emergency-in-flint-water-crisis<UDIV>http://patch.com/michigan/stclairshores/s/fj6al/breaking-governor-declares-emergency-in-flint-water-crisis
20160105	1		TRIAL;TAX_FNCACT;TAX_FNCACT_ATTORNEY;MANMADE_DISASTER_IMPLIED;EPU_CATS_REGULATION;WB_137_WATER;WATER_SECURITY;TAX_FNCACT_SPOKESWOMAN;TAX_FNCACT_SPOKESPERSON;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;GENERAL_HEALTH;WB_1199_WATER_SUPPLY_AND_SANITATION;WB_138_WATER_SUPPLY;TAX_FNCACT_CHILDREN;TAX_DISEASE;TAX_DISEASE_POISONING;TAX_DISEASE_LEAD_POISONING;DISABILITY;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_635_PUBLIC_HEALTH;WB_1464_HEALTH_OF_THE_DISABLED;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_1406_DISEASES;WB_2026_PREVENTION;TRANSPARENCY;CRISISLEX_T11_UPDATESSYMPATHY;TAX_FNCACT_OFFICIALS;TAX_FNCACT_ELECTED_OFFICIALS;CRISISLEX_CRISISLEXREC;SOC_EXPRESSREGRET;APPOINTMENT;LEADER;TAX_FNCACT_GOVERNOR;RESIGNATION;TAX_FNCACT_DIRECTOR;TAX_FNCACT_COMMISSIONERS;POLITICAL_TURMOIL;STATE_OF_EMERGENCY;TAX_FNCACT_MAYOR;TAX_FNCACT_WEAVER;CRISISLEX_O02_RESPONSEAGENCIESATCRISIS;CRISISLEX_T06_SUPPLIES;	1#United States#US#US#38#-97#US	dan wyant;rick snyder;ken sikkema;gina balaya;dan kildee	centers for disease;u s environmental protection agency;flint water advisory task force co;u s attorney office in detroit;u s attorney office;department of environmental quality	-3.27102803738318,2.10280373831776,5.37383177570093,7.47663551401869,23.5981308411215,0	499449813,499372700,499385031,499620204,499385895,499620987	detroitnews.com	http://www.detroitnews.com/story/news/michigan/2016/01/05/flint-water-probe/78307142/
