id1	label1	count	amount	id2	label2
SM	Agriculture, fishing and forestry	6	68250	SA	Arts and culture
SM	Agriculture, fishing and forestry	27	737430	SN	Community and economic development
SM	Agriculture, fishing and forestry	23	420045	SB	Education
SM	Agriculture, fishing and forestry	34	1568135	SC	Environment
SM	Agriculture, fishing and forestry	14	174000	SE	Health
SM	Agriculture, fishing and forestry	1	65000	SR	Human rights
SM	Agriculture, fishing and forestry	11	340000	SS	Human services
SM	Agriculture, fishing and forestry	6	260568	ST	International relations
SM	Agriculture, fishing and forestry	1	5000	SD	Philanthropy
SM	Agriculture, fishing and forestry	1	2500	SP	Religion
SM	Agriculture, fishing and forestry	1	226537	SF	Science
SM	Agriculture, fishing and forestry	4	23905	SQ	Sports and recreation
SA	Arts and culture	6	68250	SM	Agriculture, fishing and forestry
SA	Arts and culture	52	3051754	SN	Community and economic development
SA	Arts and culture	239	13479314	SB	Education
SA	Arts and culture	40	2044591	SC	Environment
SA	Arts and culture	37	1573524	SE	Health
SA	Arts and culture	67	5221032	SR	Human rights
SA	Arts and culture	126	8404984	SS	Human services
SA	Arts and culture	59	2073028	SH	Information and Communications
SA	Arts and culture	8	430500	ST	International relations
SA	Arts and culture	85	25313440	SD	Philanthropy
SA	Arts and culture	20	1693212	SK	Public affairs
SA	Arts and culture	1	50000	SJ	Public safety
SA	Arts and culture	31	653340	SP	Religion
SA	Arts and culture	92	5498260	SF	Science
SA	Arts and culture	21	1449965	SG	Social sciences
SA	Arts and culture	64	3105817	SQ	Sports and recreation
SN	Community and economic development	27	737430	SM	Agriculture, fishing and forestry
SN	Community and economic development	52	3051754	SA	Arts and culture
SN	Community and economic development	117	7488301	SB	Education
SN	Community and economic development	206	19014262	SC	Environment
SN	Community and economic development	54	4776879	SE	Health
SN	Community and economic development	120	10857967	SR	Human rights
SN	Community and economic development	228	10584036	SS	Human services
SN	Community and economic development	7	104500	SH	Information and Communications
SN	Community and economic development	44	2160512	ST	International relations
SN	Community and economic development	82	6150318	SD	Philanthropy
SN	Community and economic development	141	15876270	SK	Public affairs
SN	Community and economic development	1	60000	SJ	Public safety
SN	Community and economic development	26	911517	SP	Religion
SN	Community and economic development	18	3360160	SF	Science
SN	Community and economic development	13	523370	SG	Social sciences
SN	Community and economic development	15	2388124	SQ	Sports and recreation
SB	Education	23	420045	SM	Agriculture, fishing and forestry
SB	Education	239	13479314	SA	Arts and culture
SB	Education	117	7488301	SN	Community and economic development
SB	Education	41	4696392	SC	Environment
SB	Education	214	24212687	SE	Health
SB	Education	47	3431574	SR	Human rights
SB	Education	303	22824520	SS	Human services
SB	Education	110	2946227	SH	Information and Communications
SB	Education	30	2030820	ST	International relations
SB	Education	61	10583753	SD	Philanthropy
SB	Education	55	11761473	SK	Public affairs
SB	Education	2	403683	SJ	Public safety
SB	Education	124	11742818	SP	Religion
SB	Education	130	15319585	SF	Science
SB	Education	68	2938335	SG	Social sciences
SB	Education	55	1314979	SQ	Sports and recreation
SB	Education	1	28529	SZ	Unknown or not classified
SC	Environment	34	1568135	SM	Agriculture, fishing and forestry
SC	Environment	40	2044591	SA	Arts and culture
SC	Environment	206	19014262	SN	Community and economic development
SC	Environment	41	4696392	SB	Education
SC	Environment	85	21240941	SE	Health
SC	Environment	59	5102404	SR	Human rights
SC	Environment	29	905081	SS	Human services
SC	Environment	18	1334931	SH	Information and Communications
SC	Environment	43	4903353	ST	International relations
SC	Environment	65	3250018	SD	Philanthropy
SC	Environment	92	16537696	SK	Public affairs
